id,timestamp,src_ip,dst_ip,method,url,attack_type,payload,is_successful,user_agent,notes
1,2025-11-15 08:06:56.530280,192.168.139.210,192.168.1.20,GET,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,True,SQLmap/1.5,
2,2025-12-08 20:05:56.530320,192.168.13.180,192.168.1.20,GET,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,False,curl/7.88,
3,2025-11-19 05:35:56.530330,192.168.10.71,192.168.1.20,POST,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,True,Mozilla/5.0,
4,2025-12-09 22:38:56.530337,192.168.139.42,192.168.1.20,GET,http://victim.com/scan?input='; DROP TABLE users; --,SQL_INJECTION,'; DROP TABLE users; --,True,curl/7.88,
5,2025-11-12 03:44:56.530343,192.168.7.36,192.168.1.20,POST,http://victim.com/scan?input=' OR 1=1 --,SQL_INJECTION,' OR 1=1 --,False,SQLmap/1.5,
6,2025-11-17 06:24:56.530349,192.168.91.85,192.168.1.20,POST,"http://victim.com/scan?input=1 UNION SELECT username, password FROM users --",SQL_INJECTION,"1 UNION SELECT username, password FROM users --",False,SQLmap/1.5,
7,2025-12-07 08:20:56.530355,192.168.245.57,192.168.1.20,GET,http://victim.com/scan?input='; DROP TABLE users; --,SQL_INJECTION,'; DROP TABLE users; --,True,curl/7.88,
8,2025-12-02 21:12:56.530361,192.168.245.86,192.168.1.20,POST,http://victim.com/scan?input='; DROP TABLE users; --,SQL_INJECTION,'; DROP TABLE users; --,True,curl/7.88,
9,2025-11-28 15:49:56.530366,192.168.107.216,192.168.1.20,GET,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,False,curl/7.88,
10,2025-11-10 06:10:56.530372,192.168.35.160,192.168.1.20,POST,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,False,curl/7.88,
11,2025-11-17 00:54:56.530377,192.168.136.140,192.168.1.20,GET,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,False,curl/7.88,
12,2025-11-22 15:17:56.530384,192.168.250.97,192.168.1.20,POST,"http://victim.com/scan?input=1 UNION SELECT username, password FROM users --",SQL_INJECTION,"1 UNION SELECT username, password FROM users --",False,Mozilla/5.0,
13,2025-11-06 21:01:56.530389,192.168.246.135,192.168.1.20,GET,http://victim.com/scan?input='; DROP TABLE users; --,SQL_INJECTION,'; DROP TABLE users; --,False,SQLmap/1.5,
14,2025-12-09 09:56:56.530395,192.168.30.12,192.168.1.20,POST,"http://victim.com/scan?input=1 UNION SELECT username, password FROM users --",SQL_INJECTION,"1 UNION SELECT username, password FROM users --",True,curl/7.88,
15,2025-11-28 07:37:56.530400,192.168.120.126,192.168.1.20,POST,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,False,Mozilla/5.0,
16,2025-12-05 10:34:56.530406,192.168.55.209,192.168.1.20,GET,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,True,curl/7.88,
17,2025-11-11 13:27:56.530411,192.168.116.41,192.168.1.20,GET,http://victim.com/scan?input='; DROP TABLE users; --,SQL_INJECTION,'; DROP TABLE users; --,False,SQLmap/1.5,
18,2025-11-22 02:55:56.530417,192.168.58.75,192.168.1.20,GET,http://victim.com/scan?input=' OR 1=1 --,SQL_INJECTION,' OR 1=1 --,True,curl/7.88,
19,2025-11-15 18:08:56.530422,192.168.1.124,192.168.1.20,GET,http://victim.com/scan?input='; DROP TABLE users; --,SQL_INJECTION,'; DROP TABLE users; --,True,SQLmap/1.5,
20,2025-11-30 07:04:56.530428,192.168.135.29,192.168.1.20,GET,http://victim.com/scan?input=' OR 1=1 --,SQL_INJECTION,' OR 1=1 --,False,Mozilla/5.0,
21,2025-11-19 12:54:56.530433,192.168.233.244,192.168.1.20,POST,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,True,SQLmap/1.5,
22,2025-11-21 20:52:56.530439,192.168.89.233,192.168.1.20,POST,"http://victim.com/scan?input=1 UNION SELECT username, password FROM users --",SQL_INJECTION,"1 UNION SELECT username, password FROM users --",True,Mozilla/5.0,
23,2025-12-01 01:26:56.530445,192.168.158.137,192.168.1.20,GET,"http://victim.com/scan?input=1 UNION SELECT username, password FROM users --",SQL_INJECTION,"1 UNION SELECT username, password FROM users --",False,curl/7.88,
24,2025-11-18 13:46:56.530452,192.168.219.89,192.168.1.20,GET,"http://victim.com/scan?input=1 UNION SELECT username, password FROM users --",SQL_INJECTION,"1 UNION SELECT username, password FROM users --",False,curl/7.88,
25,2025-11-16 19:49:56.530458,192.168.200.100,192.168.1.20,POST,http://victim.com/scan?input=admin' #,SQL_INJECTION,admin' #,True,SQLmap/1.5,
26,2025-11-30 11:41:56.530463,192.168.137.45,192.168.1.20,GET,"http://victim.com/scan?input=1 UNION SELECT username, password FROM users --",SQL_INJECTION,"1 UNION SELECT username, password FROM users --",False,curl/7.88,
27,2025-11-12 07:40:56.530468,192.168.172.88,192.168.1.20,POST,http://victim.com/scan?input=' OR 1=1 --,SQL_INJECTION,' OR 1=1 --,False,curl/7.88,
